,W,bol_total,W_pca_norm,diff
223,0.6376467412122767,4,0.698596755936436,-0.060950014724159285
224,0.2825279028590904,5,0.5100020277307853,-0.22747412487169488
225,0.4981790862880033,9,0.6728688875357358,-0.17468980124773253
226,0.00862182108195863,3,0.2508886659318756,-0.24226684484991695
227,0.25864538012748667,5,0.5157256741515388,-0.25708029402405214
228,0.377270303397239,5,0.5203843275077106,-0.14311402411047158
229,0.6155966372186041,6,0.6223544759224232,-0.006757838703819075
230,0.00862182108195863,2,0.2508886659318756,-0.24226684484991695
231,0.13475530404219638,3,0.3714658099905477,-0.2367105059483513
232,0.2754303313056211,3,0.452366743360732,-0.1769364120551109
233,0.6155966372186041,3,0.6223544759224232,-0.006757838703819075
234,0.377270303397239,5,0.5203843275077106,-0.14311402411047158
235,0.13894396957587363,2,0.41841417909299783,-0.2794702095171242
236,0.5179453306606636,2,0.6012852608778949,-0.0833399302172313
237,0.2754303313056211,1,0.452366743360732,-0.1769364120551109
238,0.00862182108195863,2,0.2508886659318756,-0.24226684484991695
239,0.045624457515834264,3,0.3457379415898476,-0.30011348407401334
240,0.04727659758977526,3,0.31890625007885415,-0.2716296524890789
241,0.6376467412122767,3,0.698596755936436,-0.060950014724159285
242,0.04727659758977526,1,0.13603516829395704,-0.08875857070418178
243,0.9631907390839956,8,0.9319822493346457,0.031208489749349866
244,0.842281956193231,9,0.7794976893066204,0.06278426688661054
245,0.14604154112934306,3,0.47604946346305105,-0.330007922333708
246,0.14185287559566576,3,0.42910109436060095,-0.2872482187649352
247,0.15680540803586887,3,0.44770809000456036,-0.2909026819686915
248,0.08427923402365088,3,0.4137555257368261,-0.3294762917131752
249,0.06932670158344778,4,0.39514853009286677,-0.325821828509419
250,0.022050103993672524,3,0.2591133617989097,-0.23706325780523718
251,0.045624457515834264,4,0.3457379415898476,-0.30011348407401334
252,0.045624457515834264,2,0.3457379415898476,-0.30011348407401334
253,0.16653324040659873,4,0.4982225016178729,-0.3316892612112742
254,0.045624457515834264,2,0.3457379415898476,-0.30011348407401334
255,0.4981790862880033,9,0.6728688875357358,-0.17468980124773253
256,0.00862182108195863,3,0.2508886659318756,-0.24226684484991695
257,0.25864538012748667,5,0.5157256741515388,-0.25708029402405214
258,0.377270303397239,5,0.5203843275077106,-0.14311402411047158
259,0.6155966372186041,6,0.6223544759224232,-0.006757838703819075
260,0.00862182108195863,2,0.2508886659318756,-0.24226684484991695
261,0.13475530404219638,3,0.3714658099905477,-0.2367105059483513
262,0.2754303313056211,3,0.452366743360732,-0.1769364120551109
263,0.6155966372186041,3,0.6223544759224232,-0.006757838703819075
264,0.377270303397239,5,0.5203843275077106,-0.14311402411047158
265,0.10028919306805703,2,0.35039659494601927,-0.2501074018779622
266,0.4161053585690458,2,0.5332676767309164,-0.11716231816187056
267,0.2754303313056211,1,0.452366743360732,-0.1769364120551109
268,0.00862182108195863,3,0.2508886659318756,-0.24226684484991695
269,0.045624457515834264,4,0.3457379415898476,-0.30011348407401334
270,0.04727659758977526,3,0.31890625007885415,-0.2716296524890789
271,0.6376467412122767,5,0.698596755936436,-0.060950014724159285
272,0.00862182108195863,1,0.06801758414697849,-0.05939576306501986
273,0.9999990613214808,8,0.9999998334816241,-7.721601433807734e-07
274,0.842281956193231,9,0.7794976893066204,0.06278426688661054
275,0.14604154112934306,3,0.47604946346305105,-0.330007922333708
276,0.14185287559566576,1,0.42910109436060095,-0.2872482187649352
277,0.15680540803586887,2,0.44770809000456036,-0.2909026819686915
278,0.037002636433875635,3,0.2777203574428691,-0.24071772100899347
279,0.014952532440203115,4,0.20147807742885648,-0.18652554498865337
280,0.014952532440203115,2,0.20147807742885648,-0.18652554498865337
281,0.12233929706172957,4,0.42663887496003194,-0.30429957789830236
282,0.08427923402365088,1,0.4137555257368261,-0.3294762917131752
283,0.16653324040659873,4,0.4982225016178729,-0.3316892612112742
284,0.12233929706172957,1,0.42663887496003194,-0.30429957789830236
285,0.014952532440203115,1,0.01860699564395938,-0.0036544632037562655
286,0.10028919306805703,3,0.35039659494601927,-0.2501074018779622
287,0.15680540803586887,1,0.44770809000456036,-0.2909026819686915
288,0.045624457515834264,3,0.2437677931751349,-0.19814333565930062
289,0.25864538012748667,9,0.5157256741515388,-0.25708029402405214
290,0.2556640869329607,6,0.5239503700185729,-0.2682862830856122
291,0.3668450374529954,9,0.6259205184332857,-0.25907548098029026
292,0.045624457515834264,7,0.3457379415898476,-0.30011348407401334
293,0.14185287559566576,4,0.42910109436060095,-0.2872482187649352
294,0.030671925075631146,8,0.32713094594588826,-0.2964590208702571
295,0.045624457515834264,3,0.3457379415898476,-0.30011348407401334
296,0.030671925075631146,4,0.32713094594588826,-0.2964590208702571
297,0.030671925075631146,9,0.32713094594588826,-0.2964590208702571
298,0.40708294661043015,9,0.6460371960247423,-0.23895424941431215
299,0.23659527613381423,7,0.43948339413752624,-0.202888118003712
300,0.08427923402365088,7,0.4137555257368261,-0.3294762917131752
301,0.12953060397272306,3,0.4033732259599008,-0.2738426219871778
302,0.4381554625627183,6,0.609509956744929,-0.17135449418221071
303,0.25864538012748667,9,0.43482474078135447,-0.1761793606538678
304,0.08427923402365088,7,0.33285459236664183,-0.24857535834299094
